STATE, AGE  ,SEX,RECIPIENTS
IL   , 18-21,M  ,      8824
IL   , 22-25,F  ,      5727
IL   , 22-25,M  ,      7175
IL   , 26-29,F  ,      5349
IL   , 26-29,M  ,      6374
IL   , 30-39,F  ,     12689
IL   , 30-39,M  ,     12518
IL   , 40-49,F  ,     19284
IL   , 40-49,M  ,     15618
IL   , 50-59,F  ,     27647
IL   , 50-59,M  ,     22275
IL   , 60-64,F  ,     11765
IL   , 60-64,M  ,      7441
IL   , 65-69,F  ,     10295
IL   , 65-69,M  ,      5538
IL   , 70-74,F  ,     10027
IL   , 70-74,M  ,      4875
IL   , 75+  ,F  ,     21094
IL   , 75+  ,M  ,      8101
IN   ,  <05 ,F  ,      1701
IN   ,  <05 ,M  ,      2310
IN   , 05-12,F  ,      4273
IN   , 05-12,M  ,      9029
IN   , 13-17,F  ,      2740
IN   , 13-17,M  ,      5654
IN   , 18-21,F  ,      2957
IN   , 18-21,M  ,      4360
IN   , 22-25,F  ,      2907
IN   , 22-25,M  ,      3625
IN   , 26-29,F  ,      2803
IN   , 26-29,M  ,      3070
IN   , 30-39,F  ,      7438
IN   , 30-39,M  ,      6001
IN   , 40-49,F  ,     10631
IN   , 40-49,M  ,      7009
IN   , 50-59,F  ,     13251
IN   , 50-59,M  ,      8437
IN   , 60-64,F  ,      4657
IN   , 60-64,M  ,      2393
IN   , 65-69,F  ,      3133
IN   , 65-69,M  ,      1479
IN   , 70-74,F  ,      2176
IN   , 70-74,M  ,      1017
IN   , 75+  ,F  ,      3822
IN   , 75+  ,M  ,      1157
KS   ,  <05 ,F  ,       626
KS   ,  <05 ,M  ,       900
KS   , 05-12,F  ,      1428
KS   , 05-12,M  ,      3027
KS   , 13-17,F  ,       925
KS   , 13-17,M  ,      1859
KS   , 18-21,F  ,      1116
KS   , 18-21,M  ,      1659
KS   , 22-25,F  ,      1120
KS   , 22-25,M  ,      1435
KS   , 26-29,F  ,      1080
KS   , 26-29,M  ,      1234
KS   , 30-39,F  ,      2609
KS   , 30-39,M  ,      2228
KS   , 40-49,F  ,      3902
KS   , 40-49,M  ,      2649
KS   , 50-59,F  ,      5015
KS   , 50-59,M  ,      3370
KS   , 60-64,F  ,      1844
KS   , 60-64,M  ,      1093
KS   , 65-69,F  ,      1438
KS   , 65-69,M  ,       744
KS   , 70-74,F  ,      1144
KS   , 70-74,M  ,       545
KS   , 75+  ,F  ,      2077
KS   , 75+  ,M  ,       774
KY   ,  <05 ,F  ,      1543
KY   ,  <05 ,M  ,      2185
KY   , 05-12,F  ,      4922
KY   , 05-12,M  ,     10734
KY   , 13-17,F  ,      3577
KY   , 13-17,M  ,      7367
KY   , 18-21,F  ,      3277
KY   , 18-21,M  ,      4971
KY   , 22-25,F  ,      3191
KY   , 22-25,M  ,      3940
KY   , 26-29,F  ,      3438
KY   , 26-29,M  ,      3655
KY   , 30-39,F  ,     11457
KY   , 30-39,M  ,      9375
KY   , 40-49,F  ,     19041
KY   , 40-49,M  ,     13725
KY   , 50-59,F  ,     22825
KY   , 50-59,M  ,     15945
KY   , 60-64,F  ,      9374
KY   , 60-64,M  ,      5506
KY   , 65-69,F  ,      7054
KY   , 65-69,M  ,      4126
KY   , 70-74,F  ,      5290
KY   , 70-74,M  ,      2906
KY   , 75+  ,F  ,      9368
KY   , 75+  ,M  ,      3536
LA   ,  <05 ,F  ,      2387
LA   ,  <05 ,M  ,      3336
LA   , 05-12,F  ,      6023
LA   , 05-12,M  ,     12148
LA   , 13-17,F  ,      3884
LA   , 13-17,M  ,      7773
LA   , 18-21,F  ,      3490
LA   , 18-21,M  ,      5172
LA   , 22-25,F  ,      3285
LA   , 22-25,M  ,      4002
LA   , 26-29,F  ,      3313
LA   , 26-29,M  ,      3473
LA   , 30-39,F  ,      8268
LA   , 30-39,M  ,      7169
LA   , 40-49,F  ,     13591
LA   , 40-49,M  ,      9648
LA   , 50-59,F  ,     19531
LA   , 50-59,M  ,     13334
LA   , 60-64,F  ,      8084
LA   , 60-64,M  ,      4564
LA   , 65-69,F  ,      6676
LA   , 65-69,M  ,      3109
LA   , 70-74,F  ,      5443
LA   , 70-74,M  ,      2148
LA   , 75+  ,F  ,     11951
LA   , 75+  ,M  ,      2867
MA   ,  <05 ,F  ,      1383
MA   ,  <05 ,M  ,      2123
MA   , 05-12,F  ,      3473
MA   , 05-12,M  ,      7758
MA   , 13-17,F  ,      2729
MA   , 13-17,M  ,      5736
MA   , 18-21,F  ,      3423
MA   , 18-21,M  ,      5194
MA   , 22-25,F  ,      3824
MA   , 22-25,M  ,      4301
MA   , 26-29,F  ,      3680
MA   , 26-29,M  ,      3536
MA   , 30-39,F  ,     10020
MA   , 30-39,M  ,      7603
MA   , 40-49,F  ,     16955
MA   , 40-49,M  ,     11081
MA   , 50-59,F  ,     20898
MA   , 50-59,M  ,     14166
MA   , 60-64,F  ,      9231
MA   , 60-64,M  ,      5324
MA   , 65-69,F  ,      8411
MA   , 65-69,M  ,      4440
MA   , 70-74,F  ,      7772
MA   , 70-74,M  ,      4044
MA   , 75+  ,F  ,     18510
MA   , 75+  ,M  ,      7383
MD   ,  <05 ,F  ,      1268
MD   ,  <05 ,M  ,      1576
MD   , 05-12,F  ,      2515
MD   , 05-12,M  ,      5574
MD   , 13-17,F  ,      1912
MD   , 13-17,M  ,      4044
MD   , 18-21,F  ,      2402
MD   , 18-21,M  ,      4031
MD   , 22-25,F  ,      2398
MD   , 22-25,M  ,      3243
MD   , 26-29,F  ,      2023
MD   , 26-29,M  ,      2368
MD   , 30-39,F  ,      4141
MD   , 30-39,M  ,      4120
MD   , 40-49,F  ,      8061
MD   , 40-49,M  ,      6392
MD   , 50-59,F  ,     10952
MD   , 50-59,M  ,      8529
MD   , 60-64,F  ,      4170
MD   , 60-64,M  ,      2867
MD   , 65-69,F  ,      3788
MD   , 65-69,M  ,      1978
MD   , 70-74,F  ,      3968
MD   , 70-74,M  ,      1695
MD   , 75+  ,F  ,      9884
MD   , 75+  ,M  ,      3487
ME   ,  <05 ,F  ,       180
ME   ,  <05 ,M  ,       297
ME   , 05-12,F  ,       586
ME   , 05-12,M  ,      1380
ME   , 13-17,F  ,       451
ME   , 13-17,M  ,      1006
ME   , 18-21,F  ,       699
ME   , 18-21,M  ,      1136
ME   , 22-25,F  ,       886
ME   , 22-25,M  ,      1052
ME   , 26-29,F  ,       890
ME   , 26-29,M  ,       950
ME   , 30-39,F  ,      2514
ME   , 30-39,M  ,      2132
ME   , 40-49,F  ,      3804
ME   , 40-49,M  ,      2589
ME   , 50-59,F  ,      4236
ME   , 50-59,M  ,      2967
ME   , 60-64,F  ,      1544
ME   , 60-64,M  ,       900
ME   , 65-69,F  ,      1164
ME   , 65-69,M  ,       620
ME   , 70-74,F  ,       909
ME   , 70-74,M  ,       452
ME   , 75+  ,F  ,      1660
ME   , 75+  ,M  ,       482
MI   ,  <05 ,F  ,      2537
MI   ,  <05 ,M  ,      3493
MI   , 05-12,F  ,      6474
MI   , 05-12,M  ,     13897
MI   , 13-17,F  ,      4963
MI   , 13-17,M  ,     10090
MI   , 18-21,F  ,      5884
MI   , 18-21,M  ,      9094
MI   , 22-25,F  ,      5531
MI   , 22-25,M  ,      7268
MI   , 26-29,F  ,      5449
MI   , 26-29,M  ,      5973
MI   , 30-39,F  ,     13919
MI   , 30-39,M  ,     12615
MI   , 40-49,F  ,     21409
MI   , 40-49,M  ,     16205
MI   , 50-59,F  ,     29476
MI   , 50-59,M  ,     22579
MI   , 60-64,F  ,     11263
MI   , 60-64,M  ,      7003
MI   , 65-69,F  ,      8293
MI   , 65-69,M  ,      4616
MI   , 70-74,F  ,      6324
MI   , 70-74,M  ,      3255
MI   , 75+  ,F  ,     11514
MI   , 75+  ,M  ,      4425
MN   ,  <05 ,F  ,      1016
MN   ,  <05 ,M  ,      1347
MN   , 05-12,F  ,      2008
MN   , 05-12,M  ,      4485
MN   , 13-17,F  ,      1303
MN   , 13-17,M  ,      2825
MN   , 18-21,F  ,      2052
MN   , 18-21,M  ,      3201
MN   , 22-25,F  ,      2246
MN   , 22-25,M  ,      2742
MN   , 26-29,F  ,      2089
MN   , 26-29,M  ,      2268
MN   , 30-39,F  ,      4523
MN   , 30-39,M  ,      3758
MN   , 40-49,F  ,      6725
