SSA REGION   ,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Boston       ,UNKNOWN    , <18 ,M  ,       484
Boston       ,UNKNOWN    ,18-39,F  ,       520
Boston       ,UNKNOWN    ,18-39,M  ,       496
Boston       ,UNKNOWN    ,40-64,F  ,      3741
Boston       ,UNKNOWN    ,40-64,M  ,      2470
Chicago      ,AUTISTIC   , <18 ,F  ,      2512
Chicago      ,AUTISTIC   , <18 ,M  ,     11353
Chicago      ,AUTISTIC   ,18-39,F  ,      2023
Chicago      ,AUTISTIC   ,18-39,M  ,      8359
Chicago      ,AUTISTIC   ,40-64,F  ,        85
Chicago      ,AUTISTIC   ,40-64,M  ,       211
Chicago      ,BLOOD      , <18 ,F  ,       886
Chicago      ,BLOOD      , <18 ,M  ,      1075
Chicago      ,BLOOD      ,18-39,F  ,       919
Chicago      ,BLOOD      ,18-39,M  ,       908
Chicago      ,BLOOD      ,40-64,F  ,       598
Chicago      ,BLOOD      ,40-64,M  ,       305
Chicago      ,CHILDHOOD  , <18 ,F  ,      6569
Chicago      ,CHILDHOOD  , <18 ,M  ,     25425
Chicago      ,CHILDHOOD  ,18-39,F  ,      1687
Chicago      ,CHILDHOOD  ,18-39,M  ,      5416
Chicago      ,CHILDHOOD  ,40-64,F  ,        86
Chicago      ,CHILDHOOD  ,40-64,M  ,       103
Chicago      ,CIRCUL     , <18 ,F  ,       431
Chicago      ,CIRCUL     , <18 ,M  ,       459
Chicago      ,CIRCUL     ,18-39,F  ,      1199
Chicago      ,CIRCUL     ,18-39,M  ,      1269
Chicago      ,CIRCUL     ,40-64,F  ,     12507
Chicago      ,CIRCUL     ,40-64,M  ,     13544
Chicago      ,CONGEN     , <18 ,F  ,      4635
Chicago      ,CONGEN     , <18 ,M  ,      5440
Chicago      ,CONGEN     ,18-39,F  ,      2486
Chicago      ,CONGEN     ,18-39,M  ,      2778
Chicago      ,CONGEN     ,40-64,F  ,       447
Chicago      ,CONGEN     ,40-64,M  ,       388
Chicago      ,DEVELOP    , <18 ,F  ,     12575
Chicago      ,DEVELOP    , <18 ,M  ,     28768
Chicago      ,DEVELOP    ,18-39,F  ,      1536
Chicago      ,DEVELOP    ,18-39,M  ,      2410
Chicago      ,DEVELOP    ,40-64,F  ,       187
Chicago      ,DEVELOP    ,40-64,M  ,       232
Chicago      ,DIGEST     , <18 ,F  ,       969
Chicago      ,DIGEST     , <18 ,M  ,      1216
Chicago      ,DIGEST     ,18-39,F  ,       632
Chicago      ,DIGEST     ,18-39,M  ,       533
Chicago      ,DIGEST     ,40-64,F  ,      2537
Chicago      ,DIGEST     ,40-64,M  ,      2320
Chicago      ,ENDOCR     , <18 ,F  ,       599
Chicago      ,ENDOCR     , <18 ,M  ,       676
Chicago      ,ENDOCR     ,18-39,F  ,      1764
Chicago      ,ENDOCR     ,18-39,M  ,      1164
Chicago      ,ENDOCR     ,40-64,F  ,     13954
Chicago      ,ENDOCR     ,40-64,M  ,      4817
